District,State,Zone
South Andamans,Andaman And Nicobar Islands,Red Zone
Nicobars,Andaman And Nicobar Islands,Green Zone
North And Middle Andaman,Andaman And Nicobar Islands,Green Zone
Kurnool,Andhra Pradesh,Red Zone
Guntur,Andhra Pradesh,Red Zone
Krishna,Andhra Pradesh,Red Zone
Chittoor,Andhra Pradesh,Red Zone
Spsr Nellore,Andhra Pradesh,Red Zone
West Godavari,Andhra Pradesh,Orange Zone
YSR,Andhra Pradesh,Orange Zone
Anantapur,Andhra Pradesh,Orange Zone
Prakasam,Andhra Pradesh,Orange Zone
East Godavari,Andhra Pradesh,Orange Zone
Srikakulam,Andhra Pradesh,Orange Zone
Visakhapatanam,Andhra Pradesh,Orange Zone
Vizianagaram,Andhra Pradesh,Green Zone
Lohit,Arunachal Pradesh,Green Zone
Changlang,Arunachal Pradesh,Green Zone
Dibang Valley,Arunachal Pradesh,Green Zone
East Kameng,Arunachal Pradesh,Green Zone
East Siang,Arunachal Pradesh,Green Zone
KurungKumey,Arunachal Pradesh,Green Zone
Lower Dibang Valley,Arunachal Pradesh,Green Zone
Lower Subansiri,Arunachal Pradesh,Green Zone
Papum Pare,Arunachal Pradesh,Green Zone
Tawang,Arunachal Pradesh,Green Zone
Tirap,Arunachal Pradesh,Green Zone
Upper Siang,Arunachal Pradesh,Green Zone
Upper Subansiri,Arunachal Pradesh,Green Zone
West Kameng,Arunachal Pradesh,Green Zone
West Siang,Arunachal Pradesh,Green Zone
Anjaw,Arunachal Pradesh,Green Zone
Longding,Arunachal Pradesh,Green Zone
KraDaadi,Arunachal Pradesh,Green Zone
Namsai,Arunachal Pradesh,Green Zone
Siang,Arunachal Pradesh,Green Zone
Kamle,Arunachal Pradesh,Green Zone
Lower Siang,Arunachal Pradesh,Green Zone
PakkeKessang,Arunachal Pradesh,Green Zone
Leparada,Arunachal Pradesh,Green Zone
Shi Yomi,Arunachal Pradesh,Green Zone
Dhubri,Assam,Orange Zone
Marigaon,Assam,Orange Zone
Goalpara,Assam,Orange Zone
Golaghat,Assam,Green Zone
Karimganj,Assam,Green Zone
Nalbari,Assam,Green Zone
Hailakandi,Assam,Green Zone
Cachar,Assam,Green Zone
Kamrup,Assam,Green Zone
Lakhimpur,Assam,Green Zone
Kamrup Metro,Assam,Green Zone
South SalmaraMancachar,Assam,Green Zone
Barpeta,Assam,Green Zone
Bongaigaon,Assam,Green Zone
Darrang,Assam,Green Zone
Dhemaji,Assam,Green Zone
Dibrugarh,Assam,Green Zone
Jorhat,Assam,Green Zone
KarbiAnglong,Assam,Green Zone
Kokrajhar,Assam,Green Zone
Nagaon,Assam,Green Zone
Dima Hasao,Assam,Green Zone
Sivasagar,Assam,Green Zone
Sonitpur,Assam,Green Zone
Tinsukia,Assam,Green Zone
Chi rang,Assam,Green Zone
Baksa,Assam,Green Zone
Udalguri,Assam,Green Zone
Biswanath,Assam,Green Zone
Majuli,Assam,Green Zone
Charaideo,Assam,Green Zone
Hojai,Assam,Green Zone
West KarbiAnglong,Assam,Green Zone
Munger,Bihar,Red Zone
Patna,Bihar,Red Zone
Rohtas,Bihar,Red Zone
Buxar,Bihar,Red Zone
Gaya,Bihar,Red Zone
Nalanda,Bihar,Orange Zone
Kaimur (Bhabua),Bihar,Orange Zone
Siwan,Bihar,Orange Zone
